 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Cooper Kupp,47,,LAR,WR,25,8,8,0,0,0,0,0,4,25,0,55,40,566,6,95,138.1,115.1
Alex Collins,39,,BAL,RB,24,10,10,0,0,0,0,0,114,411,7,21,15,105,1,94,117.6,101.1
Jordy Nelson,49,,OAK,WR,33,15,14,0,0,0,0,0,1,-2,0,88,63,739,3,94,159.7,125.2
Courtland Sutton,48,,DEN,WR,23,16,9,0,0,0,0,0,1,-1,0,84,42,704,4,94,139.3,115.3
LeSean McCoy,40,,BUF,RB,30,14,13,0,0,0,0,0,161,514,3,46,34,238,0,93,133.2,110.2
Doug Baldwin,50,,SEA,WR,30,13,13,0,0,0,0,0,0,0,0,73,50,618,5,92,144.8,116.8
Frank Gore,41,,MIA,RB,35,14,14,0,0,0,0,0,156,722,0,16,12,124,1,91,108.6,96.6
Antonio Callaway,51,,CLE,WR,21,16,11,0,0,0,0,0,2,7,0,79,43,586,5,89,136.3,110.8
Jalen Richard,43,,OAK,RB,25,16,1,0,0,0,0,0,55,259,1,81,68,607,0,89,164.6,122.6
Wendell Smallwood,42,,PHI,RB,24,16,6,0,0,0,0,0,87,364,3,35,28,230,2,89,124.4,103.4
Gus Edwards,45,,BAL,RB,23,11,6,0,0,0,0,0,137,718,2,2,2,20,0,88,92.8,88.8
Carlos Hyde,44,,2TM,RB,28,14,7,0,0,0,0,0,172,571,5,16,10,33,0,88,102.4,93.4
Royce Freeman,47,,DEN,RB,22,14,8,0,0,0,0,0,130,521,5,20,14,72,0,87,105.3,94.3
Anthony Miller,52,,CHI,WR,24,15,4,1,1,8,0,0,6,26,0,54,33,423,7,87,123.2,103.7
Jamaal Williams,46,,GNB,RB,23,16,8,0,0,0,0,0,121,464,3,41,27,210,0,87,120.4,100.9
Cole Beasley,53,,DAL,WR,29,16,4,0,1,0,0,0,0,0,0,87,65,672,3,85,153.2,117.7
Jeff Driskel,35,,CIN,QB,25,9,5,105,176,1003,6,2,25,130,2,0,0,0,0,85,94.1,87.1
Taylor Gabriel,54,,CHI,WR,27,16,11,0,0,0,0,0,9,61,0,93,67,688,2,85,155.9,118.4
Duke Johnson,48,,CLE,RB,25,16,2,0,0,0,0,0,40,201,0,62,47,429,3,85,138.0,108.5
Donte Moncrief,55,,JAX,WR,25,16,14,0,0,0,0,0,0,0,0,89,48,668,3,83,134.8,106.8
Evan Engram,13,,NYG,TE,24,11,8,0,0,0,0,0,3,36,0,64,45,577,3,81,129.3,103.8
Marvin Jones,56,,DET,WR,28,9,9,0,0,0,0,0,0,0,0,62,35,508,5,81,118.8,98.3
Christian Kirk,57,,ARI,WR,22,12,7,0,0,0,0,0,3,35,0,68,43,590,3,81,126.5,102.0
Michael Crabtree,60,,BAL,WR,31,16,16,0,0,0,0,0,0,0,0,100,54,607,3,79,135.7,105.7
Devin Funchess,59,,CAR,WR,24,14,12,0,0,0,0,0,0,0,0,79,44,549,4,79,125.9,100.9
Rashard Higgins,58,,CLE,WR,24,13,1,0,0,0,0,0,0,0,0,53,39,572,4,79,122.2,98.7
LeGarrette Blount,50,,DET,RB,32,16,8,0,0,0,0,0,154,418,5,15,10,67,0,77,90.5,81.5
Alfred Blue,49,,HOU,RB,27,16,2,0,0,0,0,0,150,499,2,27,20,154,0,77,103.3,87.3
Dante Pettis,61,,SFO,WR,23,12,7,0,0,0,0,0,1,-2,0,45,27,467,5,77,106.5,90.0
Jimmy Graham,14,,GNB,TE,32,16,12,0,0,0,0,0,0,0,0,89,55,636,2,76,133.6,103.1
Cordarrelle Patterson,62,,NWE,WR,27,15,5,0,0,0,0,0,42,228,1,28,21,247,3,76,103.5,86.0
Damien Williams,51,,KAN,RB,26,16,3,0,0,0,0,0,50,256,4,24,23,160,2,76,105.6,87.1
Josh Adams,52,,PHI,RB,22,14,5,0,0,0,0,0,120,511,3,13,7,58,0,75,85.9,78.4
C.J. Beathard,37,,SFO,QB,25,6,5,102,169,1252,8,7,19,69,1,0,0,0,0,75,88.0,82.0
Nick Foles,36,,PHI,QB,29,5,5,141,195,1413,7,4,9,17,0,1,1,10,0,75,85.2,79.7
David Moore,64,,SEA,WR,23,16,7,0,0,0,0,0,1,5,0,53,26,445,5,75,104.0,88.0
Sammy Watkins,63,,KAN,WR,25,10,9,0,0,0,0,0,5,52,0,55,40,519,3,75,118.1,95.1
Will Fuller,65,,HOU,WR,24,7,7,0,0,0,0,0,0,0,0,45,32,503,4,74,109.3,90.3
Chris Herndon,15,,NYJ,TE,22,16,12,0,0,0,0,0,0,0,0,56,39,502,4,74,116.2,93.7
Mark Andrews,16,,BAL,TE,22,16,3,0,0,0,0,0,0,0,0,50,34,552,3,73,110.2,90.2
Kendrick Bourne,67,,SFO,WR,23,16,8,0,0,0,0,0,0,0,0,66,42,487,4,73,117.7,93.7
Tre'Quan Smith,68,,NOR,WR,22,15,7,0,0,0,0,0,0,0,0,44,28,427,5,73,103.7,86.7
Marquez Valdes-Scantling,66,,GNB,WR,24,16,10,0,0,0,0,0,2,29,0,73,38,581,2,73,114.0,92.0
Robert Foster,70,,BUF,WR,24,13,3,0,0,0,0,0,0,0,0,44,27,541,3,72,102.1,85.6
Willie Snead,69,,BAL,WR,26,16,10,0,0,0,0,0,1,13,0,95,62,651,1,72,137.4,103.4
Chris Hogan,71,,NWE,WR,31,16,7,0,0,0,0,0,0,0,0,55,35,532,3,71,109.2,88.7
Josh Reynolds,72,,LAR,WR,23,16,8,0,0,0,0,0,2,8,0,53,29,402,5,71,103.0,85.5
Ito Smith,53,,ATL,RB,23,14,0,0,0,0,0,0,90,315,4,32,27,152,0,71,103.7,84.2
Albert Wilson,73,,MIA,WR,26,7,3,1,1,52,1,0,8,16,0,35,26,391,4,71,99.8,83.8
Danny Amendola,74,,MIA,WR,33,15,15,1,1,28,1,0,1,-2,0,79,59,575,1,68,130.4,97.9
Brock Osweiler,38,,MIA,QB,28,7,5,113,178,1247,6,4,8,21,0,0,0,0,0,68,76.0,72.0
Elijah McGuire,54,,NYJ,RB,24,8,3,0,0,0,0,0,92,276,3,31,19,193,1,67,93.9,76.4
Jordan Reed,17,,WAS,TE,28,13,8,0,0,0,0,0,0,0,0,84,54,558,2,66,123.8,92.8
Josh Doctson,75,,WAS,WR,26,15,12,0,0,0,0,0,0,0,0,78,44,532,2,65,112.2,87.2
Michael Gallup,76,,DAL,WR,22,16,8,0,0,0,0,0,0,0,0,68,33,507,2,65,100.7,81.2
Chris Ivory,55,,BUF,RB,30,13,1,0,0,0,0,0,115,385,1,21,13,205,0,65,84.0,71.5
Marquise Goodwin,77,,SFO,WR,28,11,8,0,0,0,0,0,4,9,0,43,23,395,4,64,90.4,75.9
Marshawn Lynch,56,,OAK,RB,32,6,6,0,0,0,0,0,90,376,3,20,15,84,0,64,82.0,71.5
Chester Rogers,78,,IND,WR,24,16,10,0,0,0,0,0,1,-4,0,72,53,485,2,64,120.1,90.6
John Ross,79,,CIN,WR,24,13,10,0,0,0,0,0,4,9,0,58,21,210,7,64,87.9,74.4
Jaylen Samuels,57,,PIT,RB,22,14,3,0,0,0,0,0,56,256,0,29,26,199,3,64,95.5,76.5
Cameron Brate,18,,TAM,TE,27,16,2,0,0,0,0,0,0,0,0,49,30,289,6,63,96.9,77.9
C.J. Anderson,58,,2TM,RB,27,11,3,0,0,0,0,0,67,403,2,9,5,41,1,62,70.4,64.9
Seth Roberts,80,,OAK,WR,27,15,7,0,0,0,0,0,3,5,0,64,45,494,2,62,109.9,84.4
C.J. Uzomah,19,,CIN,TE,25,16,15,0,0,0,0,0,0,0,0,64,43,439,3,62,107.9,83.4
Giovani Bernard,60,,CIN,RB,27,12,4,0,0,0,0,0,56,211,3,48,35,218,0,61,101.9,78.4
Rashaad Penny,59,,SEA,RB,22,14,0,0,0,0,0,0,85,419,2,12,9,75,0,61,73.4,65.9
Alfred Morris,61,,SFO,RB,30,12,1,0,0,0,0,0,111,428,2,13,8,73,0,60,72.1,64.1
Javorius Allen,64,,BAL,RB,27,14,0,0,0,0,0,0,41,110,3,43,35,196,2,59,100.6,76.1
Corey Clement,62,,PHI,RB,24,11,0,0,0,0,0,0,68,259,2,25,22,192,0,59,87.1,70.1
Chris Conley,81,,KAN,WR,26,16,13,0,0,0,0,0,0,0,0,52,32,334,5,59,96.4,75.4
Spencer Ware,63,,KAN,RB,27,13,2,0,0,0,0,0,51,246,2,23,20,224,0,59,85.0,69.0
Dallas Goedert,20,,PHI,TE,23,16,8,0,0,0,0,0,0,0,0,44,33,334,4,57,93.4,73.9
Theo Riddick,65,,DET,RB,27,14,3,0,0,0,0,0,40,171,0,74,61,384,0,56,122.5,86.0
Jarius Wright,82,,CAR,WR,29,16,6,0,0,0,0,0,2,39,0,59,43,447,1,55,101.6,76.1
Jamison Crowder,83,,WAS,WR,25,9,7,0,0,0,0,0,4,30,0,49,29,388,2,54,85.8,68.3
